,id,name,country,country_code,abbreviation,week,Year
136,sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC,16,2025
137,sr:competitor:297502,"Bayldon, Blake",Australia,AUS,BAY,16,2025
138,sr:competitor:124708,"Cukierman, Daniel",Israel,ISR,CUK,16,2025
139,sr:competitor:25458,"Martinez, Luis David",Venezuela,VEN,MAR,16,2025
140,sr:competitor:119150,"Fancutt, Thomas",Australia,AUS,FAN,16,2025
141,sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV,16,2025
142,sr:competitor:112061,"Walkow, Szymon",Poland,POL,WAL,16,2025
143,sr:competitor:42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM,16,2025
144,sr:competitor:72420,"Merino, Alexander",Peru,PER,MER,16,2025
145,sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG,16,2025
146,sr:competitor:280601,"Oberleitner, Neil",Austria,AUT,OBE,16,2025
147,sr:competitor:390480,"Watanabe, Seita",Japan,JPN,WAT,16,2025
148,sr:competitor:58877,"Ramanathan, Ramkumar",India,IND,RAM,16,2025
149,sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP,16,2025
150,sr:competitor:69910,"Bergevi, Filip",Sweden,SWE,BER,16,2025
151,sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES,16,2025
152,sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA,16,2025
153,sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK,16,2025
154,sr:competitor:380004,"Harper, Patrick",Australia,AUS,HAR,16,2025
155,sr:competitor:44637,"Rodriguez, Cristian",Colombia,COL,ROC,16,2025
156,sr:competitor:98981,"Jecan, Alexandru",Romania,ROU,JEC,16,2025
157,sr:competitor:58989,"Sabanov, Matej",Serbia,SRB,SAB,16,2025
158,sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN,16,2025
159,sr:competitor:92845,"Goldhoff, George",USA,USA,GOL,16,2025
160,sr:competitor:110707,"Pichler, David",Austria,AUT,PIC,16,2025
161,sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI,16,2025
162,sr:competitor:297448,"Kiger, Mac",USA,USA,KIG,16,2025
163,sr:competitor:216502,"Broom, Charles",Great Britain,GBR,BRO,16,2025
164,sr:competitor:119140,"Ellis, Blake",Australia,AUS,ELL,16,2025
165,sr:competitor:628218,"Karol, Milos",Slovakia,SVK,KAR,16,2025
166,sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER,16,2025
167,sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS,16,2025
168,sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI,16,2025
169,sr:competitor:84671,"Britto, Luis",Brazil,BRA,BRI,16,2025
170,sr:competitor:195458,"Added, Dan",France,FRA,ADD,16,2025
171,sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI,16,2025
172,sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA,16,2025
173,sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL,REY,16,2025
174,sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN,16,2025
175,sr:competitor:204495,"Vocel, Matej",Czechia,CZE,VOC,16,2025
176,sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH,16,2025
177,sr:competitor:15809,"Martin, Fabrice",France,FRA,MAR,16,2025
178,sr:competitor:155860,"Lock, Courtney John",Zimbabwe,ZWE,LOC,16,2025
179,sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB,16,2025
180,sr:competitor:106395,"Ricca, Giorgio",Italy,ITA,RIC,16,2025
181,sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES,16,2025
182,sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN,16,2025
183,sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON,16,2025
184,sr:competitor:37637,"Zeballos, Federico",Bolivia,BOL,ZEB,16,2025
185,sr:competitor:54609,"Arias, Boris",Bolivia,BOL,ARI,16,2025
186,sr:competitor:82579,"Uchida, Kaichi",Japan,JPN,UCH,16,2025
187,sr:competitor:396126,"Barnat, Jiri",Czechia,CZE,BAR,16,2025
188,sr:competitor:289021,"Charlton, Joshua",Australia,AUS,CHA,16,2025
189,sr:competitor:671637,"Fils, Arthur",France,FRA,FIL,16,2025
190,sr:competitor:99043,"Wang, Aoran",China,CHN,WAN,16,2025
191,sr:competitor:96859,"Lock, Benjamin",Zimbabwe,ZWE,LOC,16,2025
192,sr:competitor:310972,"Banthia, Siddhant",India,IND,BAN,16,2025
193,sr:competitor:55293,"Sabanov, Ivan",Serbia,SRB,SAB,16,2025
194,sr:competitor:221556,"Alves, Mateus",Brazil,BRA,ALV,16,2025
